iter	Passed	Remaining
584	72234	26547
585	72357	26423
586	72493	26304
587	72614	26180
588	72732	26055
589	72857	25932
590	72991	25812
591	73112	25688
592	73231	25563
593	73367	25444
594	73488	25319
595	73606	25194
596	73720	25067
597	73841	24942
598	73963	24819
599	74099	24699
600	74220	24575
601	74353	24455
602	74479	24332
603	74625	24216
604	74773	24100
605	74896	23976
606	75022	23853
607	75143	23729
608	75264	23605
609	75384	23480
610	75505	23356
611	75624	23231
612	75746	23107
613	75868	22982
614	75988	22858
615	76108	22733
616	76225	22608
617	76346	22483
618	76470	22360
619	76607	22241
620	76728	22116
621	76864	21996
622	76987	21872
623	77145	21759
624	77297	21643
625	77407	21515
626	77515	21387
627	77629	21261
628	77740	21134
629	77858	21009
630	77979	20885
631	78105	20762
632	78226	20638
633	78343	20512
634	78460	20387
635	78581	20263
636	78699	20138
637	78826	20015
638	78945	19890
639	79068	19767
640	79187	19642
641	79321	19521
642	79437	19396
643	79563	19273
644	79682	19148
645	79822	19028
646	79942	18904
647	80063	18780
648	80182	18655
649	80300	18530
650	80420	18406
651	80538	18281
652	80661	18158
653	80785	18034
654	80904	17910
655	81024	17785
656	81144	17661
657	81267	17537
658	81397	17415
659	81523	17292
660	81648	17169
661	81768	17045
662	81887	16920
663	82007	16796
664	82126	16672
665	82254	16549
666	82373	16425
667	82490	16300
668	82634	16181
669	82756	16057
670	82882	15934
671	83024	15814
672	83155	15691
673	83282	15569
674	83414	15447
675	83546	15325
676	83667	15200
677	83796	15078
678	83943	14959
679	84077	14837
680	84201	14713
681	84331	14591
682	84449	14466
683	84568	14342
684	84684	14217
685	84805	14093
686	84934	13970
687	85076	13849
688	85199	13725
689	85322	13602
690	85445	13478
691	85563	13353
692	85685	13229
693	85803	13105
694	85938	12983
695	86084	12863
696	86214	12740
697	86333	12616
698	86457	12492
699	86576	12368
700	86695	12243
701	86811	12119
702	86933	11995
703	87047	11870
704	87173	11746
705	87295	11622
706	87415	11498
707	87537	11374
708	87658	11250
709	87775	11126
710	87892	11002
711	88016	10878
712	88135	10754
713	88258	10630
714	88380	10506
715	88505	10383
716	88629	10259
717	88753	10136
718	88902	10015
719	89028	9892
720	89154	9768
721	89275	9644
722	89393	9520
723	89514	9396
724	89636	9272
725	89761	9149
726	89894	9026
727	90011	8902
728	90130	8778
729	90253	8654
730	90371	8530
731	90493	8406
732	90622	8283
733	90743	8159
734	90863	8035
735	90982	7911
736	91099	7787
737	91225	7663
738	91375	7542
739	91495	7418
740	91615	7294
741	91740	7171
742	91876	7048
743	91997	6924
744	92149	6803
745	92260	6678
746	92374	6554
747	92500	6430
748	92620	6306
749	92739	6182
750	92872	6059
751	92990	5935
752	93112	5811
753	93254	5689
754	93372	5565
755	93489	5441
756	93613	5317
757	93749	5194
758	93873	5070
759	93990	4946
760	94118	4823
761	94241	4699
762	94360	4575
763	94491	4452
764	94622	4329
765	94746	4205
766	94871	4081
767	94998	3958
768	95118	3834
769	95242	3710
770	95364	3587
771	95488	3463
772	95609	3339
773	95728	3215
774	95850	3091
775	95972	2968
776	96093	2844
777	96231	2721
778	96352	2597
779	96473	2473
780	96592	2349
781	96712	2226
782	96830	2102
783	96948	1978
784	97067	1854
785	97188	1731
786	97308	1607
787	97428	1483
788	97548	1359
789	97668	1236
790	97788	1112
791	97912	989
792	98031	865
793	98154	741
794	98277	618
795	98396	494
796	98532	370
797	98652	247
798	98786	123
799	98905	0
